id,question_en,type,verdict,verification_basis
1,How will the weather be tomorrow in Olching?,Lookup,Correct,"Next-day forecast for Olching (high ~22C, low ~8C, ~30% precip). Real-time value; consistent with wetter.com / meteoblue at run time."
2,Roughly how many inhabitants does Munich have?,Lookup,Correct,"Munich official population 1,612,429 (31.12.2025). Matches Statistisches Amt Munchen."
3,Where does the DAX stand today?,Lookup,Correct,"DAX close 21.07.2026 ~25,011 pts, +0.7%. Confirmed against Handelsblatt (and a second engine)."
4,What is the current EUR to US-dollar exchange rate?,Lookup,Correct,EUR/USD ~1.1418 on 21.07.2026 (ECB reference rate). Confirmed against finanzen / ARIVA.
5,How high is the Zugspitze?,Lookup,Correct,"Zugspitze 2,962 m. Matches Bavarian State Surveying Office."
6,How high is the contribution assessment ceiling (GKV) by now?,Lookup,Correct,"GKV contribution ceiling 2026 = EUR 69,750/yr (5,812.50/mo). Confirmed against Bundesregierung, GKV-SV, BMG."
7,How high is the contribution assessment ceiling in the GKV 2026?,Lookup,Correct,"Ceiling EUR 69,750 + compulsory-insurance threshold EUR 77,400. Confirmed against krankenkassen.de, Bundesregierung."
8,How high is the supplementary contribution of BKK Mobil Oil?,Lookup,Correct,BKK Mobil Oil (Mobil Krankenkasse) supplementary rate 3.89% (2026). Confirmed against mobil-krankenkasse.de.
9,How high is BKK Mobil Oil's contribution rate and further benefits?,Lookup,Correct,BKK Mobil Oil 14.60% + 3.89% = 18.49% total. Confirmed against mobil-krankenkasse.de.
10,How high is the current supplementary contribution of the SBK?,Lookup,Correct,SBK supplementary rate 3.80% since 01.08.2025 (total 18.40%). Confirmed against sbk.org.
11,How did FC Bayern play most recently?,Lookup,Partially correct,"Core result correct: DFB-Pokal final 23.05.2026, Bayern 3:0 vs VfB Stuttgart. A goalscorer detail was inaccurate."
12,Who is currently the Federal Health Minister?,Lookup,Correct,"Federal Health Minister: Nina Warken (CDU), since 06.05.2025. Confirmed against BMG / Bundesregierung."
